지역코드,지역명,구,인구,남자인구,여자인구
1,서울,종로구,148884,72372,76512
1,서울,중구,124836,61018,63818
1,서울,용산구,230113,110646,119467
1,서울,성동구,292537,142904,149633
1,서울,광진구,345248,166535,178713
1,서울,동대문구,341756,169139,172617
1,서울,중랑구,393933,194665,199268
1,서울,성북구,437961,211283,226678
1,서울,강북구,306639,149427,157212
1,서울,도봉구,323431,157603,165828
1,서울,노원구,520366,250929,269437
1,서울,은평구,478336,229318,249018
1,서울,서대문구,311132,148908,162224
1,서울,마포구,371200,174741,196459
1,서울,양천구,454270,222789,231481
1,서울,강서구,579082,279269,299813
1,서울,구로구,402642,198687,203955
1,서울,금천구,231290,116950,114340
1,서울,영등포구,380443,188029,192414
1,서울,동작구,389754,188428,201326
1,서울,관악구,493374,247472,245902
1,서울,서초구,423829,202692,221137
1,서울,강남구,537879,257231,280648
1,서울,송파구,665463,320991,344472
1,서울,강동구,464208,228256,235952
2,부산,중구,41551,20262,21289
2,부산,서구,107824,52194,55630
2,부산,동구,88639,43370,45269
2,부산,영도구,112809,55571,57238
2,부산,부산진구,360025,173763,186262
2,부산,동래구,270678,131712,138966
2,부산,남구,266989,130623,136366
2,부산,북구,282799,139828,142971
2,부산,해운대구,401280,193072,208208
2,부산,사하구,310740,154760,155980
2,부산,금정구,231743,113219,118524
2,부산,강서구,139088,71882,67206
2,부산,연제구,208743,100450,108293
2,부산,수영구,176703,83512,93191
2,부산,사상구,212038,107128,104910
2,부산,기장군,176112,87194,88918
3,대구,중구,76159,36586,39573
3,대구,동구,341661,168276,173385
3,대구,서구,170005,85148,84857
3,대구,남구,146255,70279,75976
3,대구,북구,439218,218625,220593
3,대구,수성구,423937,205155,218782
3,대구,달서구,555948,274175,281773
3,대구,달성군,260008,132000,128008
4,인천,중구,139776,72561,67215
4,인천,동구,62381,31515,30866
4,인천,미추홀구,405125,204002,201123
4,인천,연수구,389527,193548,195979
4,인천,남동구,524004,260227,263777
4,인천,부평구,493610,243934,249676
4,인천,계양구,296534,147871,148663
4,인천,서구,541164,273369,267795
4,인천,강화군,69236,34655,34581
4,인천,옹진군,20348,11563,8785
5,광주,동구,102745,50674,52071
5,광주,서구,295368,144682,150686
5,광주,남구,214579,103263,111316
5,광주,북구,430209,213621,216588
5,광주,광산구,405052,204091,200961
6,대전,동구,224103,113026,111077
6,대전,중구,234654,115744,118910
6,대전,서구,476945,234558,242387
6,대전,유성구,350374,176852,173522
6,대전,대덕구,175988,89483,86505
7,울산,중구,216523,109644,106879
7,울산,남구,319189,162809,156380
7,울산,동구,156209,81652,74557
7,울산,북구,218774,113324,105450
7,울산,울주군,222258,114761,107497
8,세종,세종특별자치시,359569,179528,180041
